buyer_name,company_name,email,phone,website,country,business_category,source_platform,validation_status,classification,discovered_date
Lsb,Lsb,himalayahandmade@gmail.com,,https://himalaya-clothing.com/product/detail/lsb-01,California USA,Himalayan Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Nava Handicrafts,Nava Handicrafts,navahandicrafts@gmail.com,,https://navahandicrafts.com/,California USA,Singing Bowl Retailer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Zenprospera Singing Bowl™,Zenprospera Singing Bowl™,flow@zenprospera.com,,https://zenprospera.com/products/6-inch-tibetan-singing-bowl?srsltid=AU7gw4X1sCI3Bm4e9G63FOR5m53RTbf6fec2dFiANwxhetuaLBZl1xBU,California USA,Singing Bowl Retailer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Terms And Conditions,Terms And Conditions,hello@divinebowls.love,,https://www.divinebowls.love/terms-and-conditions?srsltid=AU7gw4XF3jLii8vE8F4-a12LsvkyaKYV834jAuRR60XtUx2YRPfqITn3,California USA,Singing Bowls Wholesale Supplier California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Zenprospera Singing Bowl™,Zenprospera Singing Bowl™,connect@circleuped.com,,https://zenprospera.com/products/6-inch-tibetan-singing-bowl?srsltid=AU7gw4USzLb0yUAIdQPIKDg2_FO7lZCK2vA1kjJvitMSfb46SAhxjNAe,California USA,Singing Bowl Shop California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
"Kala Imports Llc, Beautiful Handmade Stuff From Around The World","Kala Imports Llc, Beautiful Handmade Stuff From Around The World",info@kalaimports.com,,https://www.kalaimports.com/,California USA,Singing Bowls Importer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Yoga Supplies,Yoga Supplies,sales@wholesaleworldmarket.com,,https://wholesaleworldmarket.com/yoga-supplies/singing-bowls/,California USA,Singing Bowls Wholesale Supplier California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Crystal Bowls,Crystal Bowls,sales@earthselements.com,,https://earthselementswholesale.com/collections/crystal-bowls?srsltid=AU7gw4VWWEUKo7rEwOuTfaE9tenQFsfIZ57EcOjiBGIyVMhsHtKOHvxF,California USA,Singing Bowls Wholesale Company California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Roasted Cauliflower Hummus Bowls Recipe,Roasted Cauliflower Hummus Bowls Recipe,hello@pinchofyum.com,,https://pinchofyum.com/roasted-cauliflower-hummus-bowls,Usa,Tibetan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-15 00:12:30
Himalayan Singing Bowls,Himalayan Singing Bowls,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,,https://www.toneoflife.com/post/himalayan-singing-bowls,Usa,Himalayan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-15 00:12:30
The Walt Disney Company,The Walt Disney Company,disneyshareholder@computershare.com,,https://thewaltdisneycompany.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-15 00:12:30
The Company Of Biologists,The Company Of Biologists,advertising@biologists.com,,https://www.biologists.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-15 00:12:30
Contact,Contact,sales-us@colt.net,,https://www.colt.net/contact,Usa,Tibetan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-14 23:21:06
Contact Us,Contact Us,complianceofficer@tjx.com,,https://www.tjx.com/contact-us,Usa,Tibetan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-14 23:21:06
Manufacturing Usa,Manufacturing Usa,manufacturingusa@nist.gov,,https://www.manufacturingusa.com,Usa,Singing Bowl Store Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-14 23:21:06
The Walt Disney Company,The Walt Disney Company,twdc.pressinquiries@disney.com,,https://thewaltdisneycompany.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-14 23:21:06
The Company Of Biologists,The Company Of Biologists,datap@biologists.com,,https://www.biologists.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-14 23:21:06
Singing Bowl,Singing Bowl,kilatechapps@gmail.com,,https://www.artoftibet.com/collections/singing-bowl,Usa,Tibetan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-13 00:02:57
Centralized Mail,Centralized Mail,mailsupport@doit.gov.np,,https://mail.nepal.gov.np,Usa,Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 23:50:54
Retail,Retail,info@cannabis.ca.gov,,https://www.cannabis.ca.gov/licensees/retail,Usa,Singing Bowl Retailer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 23:50:54
"Find Us Buyers, Importers, Distributors","Find Us Buyers, Importers, Distributors",team@usetorg.com,,https://usetorg.com/buyers/usa,Usa,Singing Bowl Wholesale Buyer Usa Importer (Searxng),SearXNG,Valid Format,Unclassified,2026-09-12 01:12:57
National Shippers Contact List,National Shippers Contact List,jimp@1sourcemarketing.com,,https://www.ams.usda.gov/sites/default/files/media/NationalShippersContactList.pdf,Usa,Singing Bowl Wholesale Buyer Usa Importer (Searxng),SearXNG,Valid Format,Unclassified,2026-09-12 01:12:57
Biology With Tibetan Buddhist Monks,Biology With Tibetan Buddhist Monks,globalsponsor@theconversation.com,,https://theconversation.com/biology-with-tibetan-buddhist-monks-what-im-taking-back-to-my-college-classroom-from-teaching-at-a-monastery-176222,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 01:12:57
Wholesale Singing Bowls Supplier,Wholesale Singing Bowls Supplier,customercare@somethingdifferentwholesale.co.uk,,https://www.somethingdifferentwholesale.co.uk/spiritual-ethnic-wellbeing/singing-bowls,Usa,Singing Bowls Wholesale Supplier Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 01:12:57
Biology With Tibetan Buddhist Monks,Biology With Tibetan Buddhist Monks,global-support@theconversation.com,,https://theconversation.com/biology-with-tibetan-buddhist-monks-what-im-taking-back-to-my-college-classroom-from-teaching-at-a-monastery-176222,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:50:13
Greek Yogurt Bowls (Without Protein Powder!),Greek Yogurt Bowls (Without Protein Powder!),detoxinista@gmail.com,,https://detoxinista.com/greek-yogurt-bowls,Usa,Tibetan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:50:13
The Walt Disney Company,The Walt Disney Company,corp.comm.india@disney.com,,https://thewaltdisneycompany.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:50:13
Bp United States,Bp United States,helpdeskmailbox@bp.com,1788802,https://www.bp.com/en-US,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:50:13
Contact,Contact,contact@singingbowlsoftherockies.com,,https://www.singingbowlsoftherockies.com/contact,Usa,Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:35:49
Rite Aid Banned From Using Ai Facial Recognition After Ftc Says Retailer Deployed Technology Without Reasonable Safeguards,Rite Aid Banned From Using Ai Facial Recognition After Ftc Says Retailer Deployed Technology Without Reasonable Safeguards,hcmoemployment@ftc.gov,,https://www.ftc.gov/news-events/news/press-releases/2023/12/rite-aid-banned-using-ai-facial-recognition-after-ftc-says-retailer-deployed-technology-without,Usa,Singing Bowl Retailer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:35:49
Wholesale Singing Bowls Supplier,Wholesale Singing Bowls Supplier,sales@somethingdifferentwholesale.co.uk,,https://www.somethingdifferentwholesale.co.uk/spiritual-ethnic-wellbeing/singing-bowls,Usa,Singing Bowls Wholesale Supplier Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:35:49
Biology With Tibetan Buddhist Monks,Biology With Tibetan Buddhist Monks,globalpartnerships@theconversation.com,,https://theconversation.com/biology-with-tibetan-buddhist-monks-what-im-taking-back-to-my-college-classroom-from-teaching-at-a-monastery-176222,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:11:14
Snap Retailer Data,Snap Retailer Data,rpmdhq-web@fns.usda.gov,,https://www.fna.usda.gov/snap/retailer/data,Usa,Singing Bowl Retailer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:11:14
Rite Aid Banned From Using Ai Facial Recognition After Ftc Says Retailer Deployed Technology Without Reasonable Safeguards,Rite Aid Banned From Using Ai Facial Recognition After Ftc Says Retailer Deployed Technology Without Reasonable Safeguards,opa@ftc.gov,,https://www.ftc.gov/news-events/news/press-releases/2023/12/rite-aid-banned-using-ai-facial-recognition-after-ftc-says-retailer-deployed-technology-without,Usa,Singing Bowl Retailer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:11:14
The Walt Disney Company,The Walt Disney Company,responsibility@twdc.com,,https://thewaltdisneycompany.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:11:14
Bp United States,Bp United States,webreseau.cergy@eurogarages.com,1788802,https://www.bp.com/en-US,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-12 00:11:14
Home Page,Home Page,info@tnp.org,,https://tnp.org,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:40:35
Biology With Tibetan Buddhist Monks,Biology With Tibetan Buddhist Monks,privacy@theconversation.edu.au,,https://theconversation.com/biology-with-tibetan-buddhist-monks-what-im-taking-back-to-my-college-classroom-from-teaching-at-a-monastery-176222,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:40:35
Bp United States,Bp United States,bpmerewards@bp.com,1788802,https://www.bp.com/en-US,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:40:35
The Company Of Biologists,The Company Of Biologists,prelights@biologists.com,,https://www.biologists.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:40:35
Contact • Himalayan Singing Bowls,Contact • Himalayan Singing Bowls,live.template.editor@gmail.com,,https://singingbowls.himalayas.life/contact,Usa,Himalayan Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:40:15
Home Page,Home Page,infoindia@tnp.org,,https://tnp.org,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
Biology With Tibetan Buddhist Monks,Biology With Tibetan Buddhist Monks,globalrepublish@theconversation.com,,https://theconversation.com/biology-with-tibetan-buddhist-monks-what-im-taking-back-to-my-college-classroom-from-teaching-at-a-monastery-176222,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
Himalayan Highlands,Himalayan Highlands,wcsgroupsales@wcs.org,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
Usa Pickleball,Usa Pickleball,webmaster@wsilogix.com,,https://usapickleball.org,Usa,Singing Bowl Store Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
The Sound Journey Store,The Sound Journey Store,relax@soundjourneystore.com,,https://soundjourneystore.com/?srsltid=AfmBOoqkYgFLRAZblf-NkmzfK9yzyy0EXraFYUabd0f5kXRF22fz4mhy,Usa,Singing Bowls Wholesale Supplier Usa Importer (Searxng),SearXNG,Valid Format,Unclassified,2026-09-11 23:15:23
Net Zero Company Benchmark,Net Zero Company Benchmark,benchmark@climateaction100.org,,https://www.climateaction100.org/net-zero-company-benchmark,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
Bp United States,Bp United States,contact@bpcardservice.ch,1788802,https://www.bp.com/en-US,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
Native American Seed,Native American Seed,info@seedsource.com,,https://seedsource.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
The Company Of Biologists,The Company Of Biologists,meetings@biologists.com,,https://www.biologists.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 23:15:23
Silver Sky Imports Rebrands As Soundtopia,Silver Sky Imports Rebrands As Soundtopia,info@issuewire.com,,https://www.issuewire.com/silver-sky-imports-rebrands-as-soundtopia-1865269591468919,Usa,Singing Bowls Wholesale Usa Importer (Searxng),SearXNG,Valid Format,Unclassified,2026-09-11 01:04:39
Himalayan Highlands,Himalayan Highlands,guestrelations@wcs.org,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Buyer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:49:34
Bp United States,Bp United States,referencerequestuk@bp.com,1788802,https://www.bp.com/en-US,Usa,Singing Bowl Shop Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:49:34
Himalayan Highlands,Himalayan Highlands,mdixon@wcs.org,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:33:15
Donald Trump Schenkte Natalie Harp 45.000 Dollar Zu ...,Donald Trump Schenkte Natalie Harp 45.000 Dollar Zu ...,vertrieb@faz.de,,https://www.faz.net/aktuell/politik/usa-unter-trump/liveticker-usa-unter-trump-donald-trump-schenkte-natalie-harp-45-000-dollar-zu-weihnachten-faz-19444916.html,Usa,Himalayan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:33:15
Usa Unter Trump Trump Verspricht Jedem Us,Usa Unter Trump Trump Verspricht Jedem Us,presse@faz.de,,https://www.faz.net/aktuell/politik/usa-unter-trump/liveticker-usa-unter-trump-trump-verspricht-jedem-us-buerger-5000-dollar-bei-wahlsieg-der-republikaner-faz-19444916.html,Usa,Himalayan Singing Bowls Importer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:33:15
The Walt Disney Company And Tiktok Announce A First,The Walt Disney Company And Tiktok Announce A First,corp.communications.ltam.twdc@disney.com,,https://thewaltdisneycompany.com/news/tiktok-content-sharing-deal,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:33:15
Welcome To The Om Shoppe,Welcome To The Om Shoppe,care@theomshoppe.com,,https://www.theomshoppe.com,Usa,Tibetan Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:16:28
Wholesale Testing Services,Wholesale Testing Services,fednow.media@chi.frb.org,,https://www.frbservices.org/contactus/fedwire-testing.html,Usa,Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:16:28
Himalayan Highlands,Himalayan Highlands,admin@tractionondemand.com,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:16:10
Our Melody In Any Valley,Our Melody In Any Valley,email@desiringgod.org,,https://www.desiringgod.org/messages/our-melody-in-any-valley,Usa,Singing Bowl Retailer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:16:10
The Walt Disney Company And Tiktok Announce A First,The Walt Disney Company And Tiktok Announce A First,disney.archives@disney.com,,https://thewaltdisneycompany.com/news/tiktok-content-sharing-deal,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-11 00:16:10
Terms And Conditions,Terms And Conditions,info@himalayancrafthouse.com,,https://himalayancrafthouse.com/terms-and-conditions/,Usa,Himalayan Singing Bowls Wholesaler Usa Importer (Searxng),SearXNG,Valid Format,Unclassified,2026-09-10 00:49:16
We Review The Himalayan Grill & Bar,We Review The Himalayan Grill & Bar,accounting@417mag.com,,https://www.417mag.com/food-drink/review-himalayan-grill-bar,Usa,Himalayan Singing Bowls Buyer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-10 00:49:16
Himalayan Highlands,Himalayan Highlands,bzeducation@wcs.org,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Buyer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-10 00:49:16
Singing Bowl Wholesale From Nepal,Singing Bowl Wholesale From Nepal,purchasing@company.com,,https://studenthandicrafts.com/categories/singing-bowl/,Usa,Singing Bowl Retailer Usa Importer (Searxng),SearXNG,Valid Format,Unclassified,2026-09-10 00:49:16
Himalayan Highlands,Himalayan Highlands,events@wcs.org,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-10 00:24:50
The Company Of Biologists,The Company Of Biologists,dev@biologists.com,,https://www.biologists.com,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-10 00:24:50
We Review The Himalayan Grill & Bar,We Review The Himalayan Grill & Bar,ekingham@417mag.com,,https://www.417mag.com/food-drink/review-himalayan-grill-bar,Usa,Himalayan Singing Bowls Buyer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-10 00:08:29
Himalayan Highlands,Himalayan Highlands,vipexperiences@wcs.org,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Buyer Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-10 00:08:29
Buy Singing Bowl Online In Globally,Buy Singing Bowl Online In Globally,support@silkrute.com,,https://www.silkrute.com/home-decor/musical-instruments/singing-bowl,Usa,Singing Bowl Store Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-10 00:08:29
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,info@shakti.life,,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/etched-handmade-singing-bowls,Usa,Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-09 23:57:33
Contact,Contact,2960adcdd7704551bff19823820fca44@sentry.wixpress.com,,https://www.singingbowlsoftherockies.com/contact,Usa,Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-09 23:57:33
Wholesale Testing Services,Wholesale Testing Services,frfs.media@chi.frb.org,,https://www.frbservices.org/contactus/fedwire-testing.html,Usa,Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-09 23:49:55
Tibetan Sun,Tibetan Sun,info@jimthompsonusa.com,,https://www.jimthompsonfabrics.com/product/tibetan-sun/JT013329002,Usa,Tibetan Singing Bowls Wholesaler Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-09 23:49:55
Himalayan Highlands,Himalayan Highlands,donate@wcs.org,,https://bronxzoo.com/things-to-do/exhibits/himalayan-highlands,Usa,Himalayan Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-09 23:49:55
Company,Company,events@companybar.co,,https://companybar.co,Usa,Singing Bowls Wholesale Company Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-09 23:49:55
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,care@sarveda.com,,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/etched-handmade-singing-bowls,Usa,Singing Bowls Distributor Usa Buyer,Tavily,Valid Format,Unclassified,2026-09-09 23:49:55
